timestamp,__name__,endpoint,id,instance,job,metrics_path,node,service,value,namespace,pod,container,image,name
1609947173.706,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531279872,,,,,
1609947206.952,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531480576,,,,,
1609947245.141,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531542016,,,,,
1609947272.937,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531447808,,,,,
1609947298.865,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531501056,,,,,
1609947323.692,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531533824,,,,,
1609947356.464,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531578880,,,,,
1609947387.576,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531820544,,,,,
1609947414.389,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,531730432,,,,,
1609947147.228,container_memory_usage_bytes,https-metrics,/kubepods/kubepods/besteffort/pod128b5e68-7a5a-48d5-a2c1-153040781fc0,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,32092160,prometheus,prometheus-prometheus-node-exporter-g46t6,,,
